Grass
701,Poison,318,45,49,49,65,65,45,1,False
2,Poison,405,60,62,63,80,80,60,1,False
3,Poison,525,80,82,83,100,100,80,1,False
3,Poison,625,80,100,123,122,120,80,1,False
43,Poison,320,45,50,55,75,65,30,1,False
44,Poison,395,60,65,70,85,75,40,1,False
45,Poison,490,75,80,85,110,90,50,1,False
69,Poison,300,50,75,35,70,30,40,1,False
70,Poison,390,65,90,50,85,45,55,1,False
71,Poison,490,80,105,65,100,70,70,1,False
102,Psychic,325,60,40,80,60,45,40,1,False
103,Psychic,520,95,95,85,125,65,55,1,False
114,,435,65,55,115,100,40,60,1,False
152,,318,45,49,65,49,65,45,2,False
153,,405,60,62,80,63,80,60,2,False
154,,525,80,82,100,83,100,80,2,False
182,,490,75,80,95,90,100,50,2,False
187,Flying,250,35,35,40,35,55,50,2,False
188,Flying,340,55,45,50,45,65,80,2,False
189,Flying,460,75,55,70,55,95,110,2,False
191,,180,30,30,30,30,30,30,2,False
192,,425,75,75,55,105,85,30,2,False
252,,310,40,45,35,65,55,70,3,False
253,,405,50,65,45,85,65,95,3,False
254,,530,70,85,65,105,85,120,3,False
254,Dragon,630,70,110,75,145,85,145,3,False
273,,220,40,40,50,30,30,30,3,False
274,Dark,340,70,70,40,60,40,60,3,False
275,Dark,480,90,100,60,90,60,80,3,False
285,,295,60,40,60,40,60,35,3,False
286,Fighting,460,60,130,80,60,60,70,3,False
315,Poison,400,50,60,45,100,80,65,3,False
331,,335,50,85,40,85,40,35,3,False
332,Dark,475,70,115,60,115,60,55,3,False
357,Flying,460,99,68,83,72,87,51,3,False
387,,318,55,68,64,45,55,31,4,False
388,,405,75,89,85,55,65,36,4,False
389,Ground,525,95,109,105,75,85,56,4,False
406,Poison,280,40,30,35,50,70,55,4,False
407,Poison,515,60,70,65,125,105,90,4,False
420,,275,45,35,45,62,53,35,4,False
421,,450,70,60,70,87,78,85,4,False
455,,454,74,100,72,90,72,46,4,False
459,Ice,334,60,62,50,62,60,40,4,False
460,Ice,494,90,92,75,92,85,60,4,False
460,Ice,594,90,132,105,132,105,30,4,False
465,,535,100,100,125,110,50,50,4,False
470,,525,65,110,130,60,65,95,4,False
492,,600,100,100,100,100,100,100,4,True
492,Flying,600,100,103,75,120,75,127,4,True
495,,308,45,45,55,45,55,63,5,False
496,,413,60,60,75,60,75,83,5,False
497,,528,75,75,95,75,95,113,5,False
511,,316,50,53,48,53,48,64,5,False
512,,498,75,98,63,98,63,101,5,False
546,Fairy,280,40,27,60,37,50,66,5,False
547,Fairy,480,60,67,85,77,75,116,5,False
548,,280,45,35,50,70,50,30,5,False
549,,480,70,60,75,110,75,90,5,False
556,,461,75,86,67,106,67,60,5,False
590,Poison,294,69,55,45,55,55,15,5,False
591,Poison,464,114,85,70,85,80,30,5,False
597,Steel,305,44,50,91,24,86,10,5,False
598,Steel,489,74,94,131,54,116,20,5,False
640,Fighting,580,91,90,72,90,129,108,5,True
650,,313,56,61,65,48,45,38,6,False
651,,405,61,78,95,56,58,57,6,False
652,Fighting,530,88,107,122,74,75,64,6,False
672,,350,66,65,48,62,57,52,6,False
673,,531,123,100,62,97,81,68,6,False
Fire
524,,309,39,52,43,60,50,65,1,False
5,,405,58,64,58,80,65,80,1,False
6,Flying,534,78,84,78,109,85,100,1,False
6,Dragon,634,78,130,111,130,85,100,1,False
6,Flying,634,78,104,78,159,115,100,1,False
37,,299,38,41,40,50,65,65,1,False
38,,505,73,76,75,81,100,100,1,False
58,,350,55,70,45,70,50,60,1,False
59,,555,90,110,80,100,80,95,1,False
77,,410,50,85,55,65,65,90,1,False
78,,500,65,100,70,80,80,105,1,False
126,,495,65,95,57,100,85,93,1,False
136,,525,65,130,60,95,110,65,1,False
146,Flying,580,90,100,90,125,85,90,1,True
155,,309,39,52,43,60,50,65,2,False
156,,405,58,64,58,80,65,80,2,False
