,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",149450,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",129054,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
3,"Cold Heart - PNAU Remix","Elton John",123507,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
4,"STAY (with Justin Bieber)","The Kid LAROI",116445,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",103763,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
6,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",100882,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
7,abcdefu,GAYLE,99773,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
8,Shivers,"Ed Sheeran",97247,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
9,"Nail Tech","Jack Harlow",96179,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
10,"THATS WHAT I WANT","Lil Nas X",95059,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
11,"pushin P (feat. Young Thug)",Gunna,87886,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
12,Ghost,"Justin Bieber",84355,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,"Bad Habits","Ed Sheeran",84047,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
14,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",81290,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
15,"Easy On Me",Adele,80988,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
16,Boyfriend,"Dove Cameron",80639,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
17,"Still D.R.E.","Dr. Dre",73722,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
18,"The Motto",Tiësto,73593,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
19,"she's all i wanna be","Tate McRae",71325,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
20,"good 4 u","Olivia Rodrigo",70541,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
21,"Super Gremlin","Kodak Black",70097,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
22,Woman,"Doja Cat",69628,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
