,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",149806,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",121398,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
3,"Nail Tech","Jack Harlow",117489,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
4,"Cold Heart - PNAU Remix","Elton John",116488,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
5,"STAY (with Justin Bieber)","The Kid LAROI",114563,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",100898,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",100821,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
8,"pushin P (feat. Young Thug)",Gunna,100296,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
9,abcdefu,GAYLE,100098,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
10,Shivers,"Ed Sheeran",99798,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,"THATS WHAT I WANT","Lil Nas X",95755,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
12,Boyfriend,"Dove Cameron",92053,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
13,"Easy On Me",Adele,89574,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
14,Ghost,"Justin Bieber",89412,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
15,"Still D.R.E.","Dr. Dre",82435,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
16,"Bad Habits","Ed Sheeran",81239,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
17,"she's all i wanna be","Tate McRae",80888,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
18,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",79106,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
19,"Super Gremlin","Kodak Black",74200,https://open.spotify.com/track/2bBClS4zzrRd4Aj59NaKSv
20,Lost,"Frank Ocean",72333,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
21,"The Motto",Tiësto,71851,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
22,"City of Gods","Fivio Foreign",70290,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
23,"good 4 u","Olivia Rodrigo",69556,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
24,"I Love You So","The Walters",67691,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
25,"Numb Little Bug","Em Beihold",67689,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
26,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,66479,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
27,"Where Are You Now","Lost Frequencies",65950,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
28,Woman,"Doja Cat",65234,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
29,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,64452,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
30,"Fingers Crossed","Lauren Spencer-Smith",63463,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ
31,"Light Switch","Charlie Puth",62837,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
32,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,61948,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
33,"Mount Everest",Labrinth,59588,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
34,Softcore,"The Neighbourhood",59243,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
35,Infinity,"Jaymes Young",59008,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
36,"edamame (feat. Rich Brian)",bbno$,58540,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
37,"One Right Now (with The Weeknd)","Post Malone",58082,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
38,"Without Me",Eminem,57276,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
39,"The Family Madrigal","Stephanie Beatriz",56462,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
40,"Sweater Weather","The Neighbourhood",55473,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
41,"The Real Slim Shady",Eminem,55306,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
42,"Banking On Me",Gunna,55056,https://open.spotify.com/track/7Fege3yv4dvehB3NdRBGwI
43,"Do It To It",ACRAZE,54977,https://open.spotify.com/track/20on25jryn53hWghthWWW3
44,"The Next Episode","Dr. Dre",54650,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
45,"AHHH HA","Lil Durk",54530,https://open.spotify.com/track/54VFhe501kUbDYj2OrueMp
46,"MIDDLE OF THE NIGHT","Elley Duhé",54504,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
47,Cigarettes,"Juice WRLD",54424,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
48,"Kiss Me More (feat. SZA)","Doja Cat",54402,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
49,"Need to Know","Doja Cat",54346,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
50,"In Da Club","50 Cent",52575,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
51,Pepas,Farruko,52254,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
52,"Oh My God",Adele,51603,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
53,"Levitating (feat. DaBaby)","Dua Lipa",51568,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
54,"Dark Red","Steve Lacy",50966,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
55,2055,"Sleepy Hallow",50747,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
56,Dandelions,"Ruth B.",50599,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
57,"Blinding Lights","The Weeknd",49906,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
58,"No Role Modelz","J. Cole",49569,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
59,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",49171,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
60,"'Till I Collapse",Eminem,47894,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
61,"MONTERO (Call Me By Your Name)","Lil Nas X",47381,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
62,"My Universe",Coldplay,47065,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
63,"family ties (with Kendrick Lamar)","Baby Keem",46767,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
64,"love nwantiti (ah ah ah)",CKay,46579,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
65,traitor,"Olivia Rodrigo",46289,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
66,"All For Us - from the HBO Original Series Euphoria",Labrinth,45860,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
67,"TO THE MOON","Jnr Choi",45842,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
68,Notion,"The Rare Occasions",45563,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
69,Beggin',Måneskin,44822,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
70,"drivers license","Olivia Rodrigo",44623,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
71,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",44360,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
72,"What Else Can I Do?","Diane Guerrero",44286,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
73,RAPSTAR,"Polo G",44061,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
74,"Way 2 Sexy (with Future & Young Thug)",Drake,43935,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
75,"Someone You Loved","Lewis Capaldi",43893,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
76,Toxic,BoyWithUke,43709,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
77,Sacrifice,"The Weeknd",43377,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
78,"P power (feat. Drake)",Gunna,42888,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
79,"Happier Than Ever","Billie Eilish",42714,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
80,High,"The Chainsmokers",42703,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
81,505,"Arctic Monkeys",42552,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
82,"Meet Me At Our Spot","THE ANXIETY",42548,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
83,"Fair Trade (with Travis Scott)",Drake,42422,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
84,Formula,Labrinth,42108,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
85,"Monëy so big",Yeat,41900,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
86,"Do We Have A Problem?","Nicki Minaj",41882,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
87,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",41694,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
88,Heartless,"Kanye West",41518,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
89,Bussin,"Nicki Minaj",40848,https://open.spotify.com/track/7lcI4X8RZxK4zIknJcwpBq
90,"I Hate U",SZA,40777,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
91,"Mood (feat. iann dior)",24kGoldn,40479,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
92,"You Right","Doja Cat",40415,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
93,"Ginseng Strip 2002","Yung Lean",39948,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
94,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",39895,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
95,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",39480,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
96,"Godzilla (feat. Juice WRLD)",Eminem,39119,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
97,"California Love - Original Version",2Pac,39116,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
98,"Pursuit Of Happiness (Nightmare)","Kid Cudi",38978,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
99,"Hrs and Hrs","Muni Long",38429,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
100,"Dreams - 2004 Remaster","Fleetwood Mac",38161,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
101,Sky,"Playboi Carti",37953,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
102,"It'll Be Okay","Shawn Mendes",37762,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
103,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,37537,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
104,"Martin & Gina","Polo G",37445,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
105,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",37400,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
106,"Big Energy",Latto,37285,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
107,"Wants and Needs (feat. Lil Baby)",Drake,37171,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
108,"Don't Play That","King Von",37085,https://open.spotify.com/track/6BczFLHW9aIf9aWn5NFuNL
109,Swim,"Chase Atlantic",37081,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
110,"Buy Dirt","Jordan Davis",37012,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
