,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",154152,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",122644,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
3,"Cold Heart - PNAU Remix","Elton John",121262,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
4,"STAY (with Justin Bieber)","The Kid LAROI",119027,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Nail Tech","Jack Harlow",111571,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",104456,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,abcdefu,GAYLE,102841,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
8,Shivers,"Ed Sheeran",102523,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
9,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",101718,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
10,"pushin P (feat. Young Thug)",Gunna,99145,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
11,"THATS WHAT I WANT","Lil Nas X",97654,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
12,Ghost,"Justin Bieber",90727,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,"Easy On Me",Adele,90182,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
14,Boyfriend,"Dove Cameron",88882,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
15,"Bad Habits","Ed Sheeran",85073,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
16,"she's all i wanna be","Tate McRae",81560,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
