MDM1D
9554374, 56
9634230, 69
9746092, 72
9390801, 81
9135581, 72
9994855, 85
9793105, 93
9687041, 53
9472497, 80
9217293, 65
9055917, 62
9420258, 70
9032134, 86
9508872, 67
9889597, 88
9748971, 66
9195947, 78
9818495, 83
9722387, 77
9331737, 85
9362802, 64
9620667, 95
9670774, 60
9192736, 84
9515476, 92
9829197, 59
9346181, 93
9936507, 93
9371156, 85
9572289, 65
9714173, 95
9044146, 53
9609617, 57
9586247, 85
9226864, 73
9877169, 53
9243440, 68
9253268, 70
ADA4M
9554374, 93
9136586, 89
9492103, 65
9486747, 88
9661495, 85
9044983, 86
9605752, 58
9128217, 72
9489496, 84
9185419, 91
9011112, 76
9310516, 67
9836900, 67
9943043, 88
9963521, 76
9740700, 62
9158266, 58
9483316, 65
9975424, 67
9436060, 57
9332315, 92
9732915, 82
9888719, 68
9079313, 54
9587698, 60
9417893, 67
9887363, 82
9406501, 54
ATC4M
9554374, 91
9850953, 63
9945653, 100
9714751, 79
9890569, 95
9905599, 91
9773728, 64
9295471, 93
9028497, 100
9909589, 67
9570668, 85
9108193, 75
9473493, 78
9802600, 54
9047817, 74
9128343, 70
9055917, 65
9277120, 92
9721468, 57
9084761, 53
9684243, 59
9682011, 98
9123935, 92
9370348, 78
9009648, 56
9569072, 93
9843896, 74
9665123, 97
9449579, 85
9175713, 69
9127803, 95
CGD3M
9554374, 61
9137564, 94
9936411, 100
9405075, 71
9650890, 75
9946850, 62
9416399, 89
9449145, 55
9106515, 84
9728351, 70
9836037, 70
9503566, 76
9248594, 75
9158962, 65
9920512, 71
9427478, 86
9943043, 53
9423010, 80
9766857, 61
9930889, 82
9798700, 63
9450043, 90
9534722, 61
9435233, 94
9986585, 64
9823074, 79
9013480, 94
9218807, 90
9012362, 80
9039859, 53
9470815, 63
9146155, 85
9278269, 87
9680048, 87
9128277, 93
9199424, 84
9531167, 67
CHY4U
9223933, 85
9840577, 80
9390801, 55
9928039, 71
9092695, 100
9315728, 64
9860906, 66
9182074, 90
9172332, 84
9959268, 57
9836900, 77
9277120, 61
9021610, 83
9272042, 74
9088981, 98
9860739, 58
9682590, 75
9855021, 92
9450043, 90
9041762, 83
9202094, 73
9156421, 79
9479495, 81
9012362, 69
9932676, 68
9404509, 100
9417893, 99
9537410, 82
9373797, 67
9730026, 53
9441784, 96
9253268, 84
CLU3M
9223933, 92
9474992, 77
9781195, 79
9044983, 92
9874449, 96
9664982, 74
9285739, 71
9315728, 78
9168041, 81
9333959, 73
9982655, 93
9178055, 68
9851750, 99
9014780, 53
9438387, 70
9706546, 69
9098837, 65
9887986, 97
9156395, 60
9447519, 54
9502787, 95
9099179, 68
9763596, 63
9772903, 64
9366639, 87
9557252, 69
9161612, 91
9943786, 98
9710574, 82
9309934, 72
9892350, 53
9856078, 86
9511273, 87
9586247, 63
9954491, 89
9537410, 57
CGT3E
9223933, 93
9139140, 84
9153786, 73
9735285, 67
9478469, 69
9208463, 60
9173434, 76
9772621, 73
9009991, 96
9887237, 54
9388989, 74
9168041, 95
9174192, 75
9014780, 80
9378978, 65
9860873, 80
9920857, 92
9861267, 57
9098837, 99
9566494, 53
9003489, 53
9150250, 98
9675413, 75
9044378, 86
9298757, 81
9502787, 60
9109830, 79
9387848, 62
9424061, 88
9757174, 53
9240326, 86
9121982, 85
9492439, 82
9256740, 53
9805554, 58
9163041, 57
9371156, 98
9066588, 88
9795663, 83
9270475, 63
9044146, 84
9429015, 56
9938334, 95
9253268, 89
TGJ3M
9223933, 83
9669921, 60
9319125, 97
9660312, 87
9513557, 100
9856824, 65
9946850, 82
9778195, 94
9493270, 90
9482662, 69
9398804, 56
9237522, 86
9704227, 67
9385606, 81
9890111, 94
9438387, 61
9920857, 55
9566516, 83
