,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",156823,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"Cold Heart - PNAU Remix","Elton John",128685,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
3,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",125310,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
4,"STAY (with Justin Bieber)","The Kid LAROI",121650,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Nail Tech","Jack Harlow",113299,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",108775,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,Shivers,"Ed Sheeran",105643,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
8,abcdefu,GAYLE,104872,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
9,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",104275,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
10,"THATS WHAT I WANT","Lil Nas X",101044,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
11,"pushin P (feat. Young Thug)",Gunna,97479,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
12,Ghost,"Justin Bieber",91896,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
13,"Bad Habits","Ed Sheeran",89049,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
14,"Easy On Me",Adele,88981,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
15,Boyfriend,"Dove Cameron",87401,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
16,"Still D.R.E.","Dr. Dre",81388,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
17,"she's all i wanna be","Tate McRae",80945,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
18,"Super Gremlin","Kodak Black",80884,https://open.spotify.com/track/1Y5Jvi3eLi4Chwqch9GMem
19,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",80386,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
20,"The Motto",Tiësto,79880,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
21,"Where Are You Now","Lost Frequencies",74693,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
22,"Freaky Deaky",Tyga,74352,https://open.spotify.com/track/3vySEUpD0tc801F2WZDLYw
23,"AHHH HA","Lil Durk",73535,https://open.spotify.com/track/54VFhe501kUbDYj2OrueMp
24,"good 4 u","Olivia Rodrigo",73452,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
25,"City of Gods","Fivio Foreign",72614,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
26,Lost,"Frank Ocean",72436,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
27,Woman,"Doja Cat",70219,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
28,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,67829,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
29,"Numb Little Bug","Em Beihold",65752,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
30,"I Love You So","The Walters",65196,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
