,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",150123,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",134750,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
3,"Cold Heart - PNAU Remix","Elton John",120570,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
4,"STAY (with Justin Bieber)","The Kid LAROI",117580,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Nail Tech","Jack Harlow",112874,https://open.spotify.com/track/62Yo3FDddWY8ydu6PW2wyz
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",102311,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,abcdefu,GAYLE,101345,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
8,Shivers,"Ed Sheeran",100953,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
9,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",99691,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
10,"pushin P (feat. Young Thug)",Gunna,98520,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
11,"THATS WHAT I WANT","Lil Nas X",98168,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
12,"Easy On Me",Adele,88199,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
13,Ghost,"Justin Bieber",88051,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
14,Boyfriend,"Dove Cameron",87291,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
15,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",86524,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
16,"Still D.R.E.","Dr. Dre",85624,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
17,"Bad Habits","Ed Sheeran",82514,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
18,"she's all i wanna be","Tate McRae",78025,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
19,"The Motto",Tiësto,70878,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
20,"Super Gremlin","Kodak Black",70670,https://open.spotify.com/track/2bBClS4zzrRd4Aj59NaKSv
21,"good 4 u","Olivia Rodrigo",70378,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,Lost,"Frank Ocean",68378,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
23,"Where Are You Now","Lost Frequencies",66396,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
24,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,65890,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
25,"City of Gods","Fivio Foreign",65757,https://open.spotify.com/track/4huBDGP4I3S0pYI0EaRN1c
26,Woman,"Doja Cat",65577,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
