9554374,MDM1D, 56
9554374,ADA4M, 93
9554374,ATC4M, 91
9554374,CGD3M, 61
9223933,CHY4U, 85
9223933,CLU3M, 92
9223933,CGT3E, 93
9223933,TGJ3M, 83
9077030,FIF1D, 55
9077030,ENG2D, 62
9077030,CPC3O, 94
9077030,CGC1D, 84
9614230,ICS4U, 82
9614230,ADA3M, 68
9614230,CPW4U, 63
9614230,HFA4M, 53
9158636,HIP3E, 63
9158636,MFM2P, 87
9158636,PPL3O, 80
9158636,MCREU, 85
9294935,ENG1D, 66
9294935,CGG3O, 64
9294935,MCV4U, 96
9294935,BAI3E, 95
9503160,HPW3C, 69
9503160,MCV4U, 95
9503160,SPH4U, 53
9503160,CIE3M, 64
9136586,ICS4U, 64
9136586,BAT4M, 93
9136586,HFA4M, 75
9136586,ADA4M, 89
9931683,ADA4E, 77
9931683,TGJ4O, 77
9931683,SCH3U, 65
9931683,CIC3E, 67
9139140,BBI1O, 81
9139140,ELS2O, 72
9139140,PLF4C, 68
9139140,CGT3E, 84
9695328,CHV2O, 77
9695328,TGJ3O, 55
9695328,SNC4E, 63
9695328,SNC2D, 86
9587996,ENG1P, 56
9587996,SPH4U, 71
9587996,CHI4U, 60
9587996,MCREU, 83
9662546,TEJ4M, 57
9662546,PPZ3O, 62
9662546,HFA4M, 53
9662546,MEL4E, 59
9026084,BAF3M, 93
9026084,FSF2D, 57
9026084,ENG2P, 77
9026084,BBB4M, 93
9109188,HPW3C, 67
9109188,ATC3M, 69
9109188,ADA3O, 90
9109188,SNC2D, 92
9210548,FIF1D, 66
9210548,SNC4M, 86
9210548,TGJ4M, 55
9210548,PPL3O, 79
9128890,ENG4U, 64
9128890,ADA2O, 88
9128890,CIE3M, 57
9128890,FSF1P, 88
9409734,ACL1O, 54
9409734,CGC1D, 73
9409734,MPM2D, 86
9409734,FSF1P, 93
9137564,BAT4M, 56
9137564,CGD3M, 94
9137564,FIF3U, 58
9137564,ATC4E, 92
9797517,SPH4U, 82
9797517,BTT1O, 54
9797517,BAN4E, 92
9797517,ATC4E, 70
9034068,ICS3U, 67
9034068,BOH4M, 83
9034068,FIF1D, 72
9034068,SB14U, 88
9991347,ENG4U, 93
9991347,FSF4U, 100
9991347,SCH3U, 55
9991347,MPM1P, 60
9947115,SNC1D, 81
9947115,HZT4U, 63
9947115,TGJ3O, 86
9947115,FSF1P, 55
9684108,SNC1D, 60
9684108,CLU4U, 58
9684108,SPH3U, 68
9684108,TEJ4M, 76
9804763,BBI1O, 66
9804763,HPC3O, 90
9804763,PSE4U, 86
9804763,TEJ3M, 60
9201560,BBB4E, 98
9201560,ADA3O, 94
9201560,ADA2O, 90
9201560,PSE4U, 94
9740184,PPL3O, 94
9740184,CHV2O, 90
9740184,ATC4E, 99
9740184,TEJ3E, 60
9295290,MAP4C, 79
9295290,CHI4U, 54
9295290,SCH3U, 55
9295290,SNC4M, 68
9725718,FIF3U, 85
9725718,TEJ4M, 66
9725718,BAN4E, 56
9725718,SNC4E, 67
9847140,AEA3O, 97
9847140,SB14U, 59
9847140,FSF1P, 100
9847140,MDM4U, 100
9166183,ENG3C, 70
9166183,SNC4M, 70
9166183,TGJ3O, 57
9166183,TEJ20, 72
9936411,HZT4U, 91
9936411,PPL2O, 96
9936411,FEF2D, 88
9936411,CGD3M, 100
9567932,TEJ20, 58
9567932,FIF3U, 84
9567932,SNC1P, 94
9567932,PPL3O, 88
9153786,CIC3E, 77
9153786,BOH4M, 69
9153786,CGT3E, 73
9153786,SNC1D, 60
9053133,ENG4U, 58
9053133,FEF3U, 72
9053133,ADA2O, 53
9053133,CGC1D, 89
9669921,BBB4M, 55
9669921,TGJ3M, 60
9669921,MFM2P, 65
9669921,MHF4U, 80
9734006,HPW3C, 80
9734006,CHV2O, 78
9734006,ACL1O, 94
9734006,ENG2P, 66
9982931,BBI1O, 94
9982931,SPH3U, 76
9982931,CGC1P, 62
9982931,HPW3C, 70
9478533,AEA3O, 73
9478533,ATC1O, 92
9478533,MPM2D, 71
9478533,MCT4C, 73
9137462,PPZ3O, 98
9137462,HNC3O, 82
9137462,ICS4U, 64
9137462,ATC1O, 76
9491585,CIE3M, 71
9491585,MCF3M, 67
9491585,ENG1P, 84
9491585,ACL1O, 74
9492103,SNC2D, 87
9492103,ICS2O, 65
9492103,ATC3M, 56
9492103,ADA4M, 65
9660110,CGG3O, 63
9660110,ENG1D, 66
9660110,BTT1O, 70
9660110,HZT4U, 54
9223528,SB14U, 84
9223528,MEL4E, 91
9223528,ADA1O, 88
9223528,BOH4M, 85
9677628,TIJ2O, 55
9677628,BBB4M, 80
9677628,HZT4U, 74
9677628,MCF3M, 89
9850953,PPL3O, 94
9850953,MCV4U, 59
9850953,ATC4M, 63
9850953,ADA2O, 69
9965449,CIA4U, 60
9965449,THJ4E, 95
9965449,BOH4M, 84
9965449,PLF4C, 69
9156013,SNC1P, 75
9156013,ICS2O, 89
9156013,SB14U, 98
9156013,ENG1P, 72
9945653,ATC4M, 100
9945653,ADA3M, 91
9945653,FSF3O, 81
9945653,FSF2D, 94
9700258,CIE3M, 80
9700258,TEJ20, 64
